log started
processed 1650000 loci, wrote 50392 loci
processed 1660000 loci, wrote 50807 loci
processed 1670000 loci, wrote 51262 loci
processed 1680000 loci, wrote 51708 loci
processed 1690000 loci, wrote 52119 loci
processed 1700000 loci, wrote 52568 loci
processed 1710000 loci, wrote 53013 loci
processed 1720000 loci, wrote 53477 loci
processed 1730000 loci, wrote 53885 loci
processed 1740000 loci, wrote 54328 loci
processed 1750000 loci, wrote 54793 loci
processed 1760000 loci, wrote 55244 loci
processed 1770000 loci, wrote 55660 loci
processed 1780000 loci, wrote 55998 loci
processed 1790000 loci, wrote 56127 loci
processed 1800000 loci, wrote 56252 loci
processed 1810000 loci, wrote 56370 loci
processed 1820000 loci, wrote 56504 loci
processed 1830000 loci, wrote 56613 loci
processed 1840000 loci, wrote 56726 loci
processed 1850000 loci, wrote 56842 loci
processed 1860000 loci, wrote 56958 loci
processed 1870000 loci, wrote 57059 loci
processed 1880000 loci, wrote 57163 loci
processed 1890000 loci, wrote 57346 loci
processed 1900000 loci, wrote 57533 loci
processed 1910000 loci, wrote 57687 loci
processed 1920000 loci, wrote 57891 loci
processed 1930000 loci, wrote 58132 loci
processed 1940000 loci, wrote 58355 loci
processed 1950000 loci, wrote 58618 loci
processed 1960000 loci, wrote 58866 loci
processed 1970000 loci, wrote 59103 loci
processed 1980000 loci, wrote 59315 loci
processed 1990000 loci, wrote 59550 loci
processed 2000000 loci, wrote 59816 loci
processed 2010000 loci, wrote 60070 loci
processed 2020000 loci, wrote 60305 loci
processed 2030000 loci, wrote 60542 loci
processed 2040000 loci, wrote 60783 loci
processed 2050000 loci, wrote 61046 loci
processed 2060000 loci, wrote 61285 loci
processed 2070000 loci, wrote 61528 loci
processed 2080000 loci, wrote 61787 loci
processed 2090000 loci, wrote 62070 loci
processed 2100000 loci, wrote 62352 loci
processed 2110000 loci, wrote 62596 loci
processed 2120000 loci, wrote 62888 loci
processed 2130000 loci, wrote 63151 loci
processed 2140000 loci, wrote 63424 loci
processed 2150000 loci, wrote 63677 loci
processed 2160000 loci, wrote 63951 loci
processed 2170000 loci, wrote 64238 loci
processed 2180000 loci, wrote 64501 loci
processed 2190000 loci, wrote 64794 loci
processed 2200000 loci, wrote 65075 loci
processed 2210000 loci, wrote 65354 loci
processed 2220000 loci, wrote 65635 loci
processed 2230000 loci, wrote 65937 loci
processed 2240000 loci, wrote 66209 loci
processed 2250000 loci, wrote 66491 loci
processed 2260000 loci, wrote 66782 loci
processed 2270000 loci, wrote 67050 loci
processed 2280000 loci, wrote 67354 loci
processed 2290000 loci, wrote 67647 loci
processed 2300000 loci, wrote 67955 loci
processed 2310000 loci, wrote 68331 loci
processed 2320000 loci, wrote 68779 loci
processed 2330000 loci, wrote 69177 loci
processed 2340000 loci, wrote 69623 loci
processed 2350000 loci, wrote 70063 loci
processed 2360000 loci, wrote 70502 loci
processed 2370000 loci, wrote 70958 loci
processed 2380000 loci, wrote 71351 loci
processed 2390000 loci, wrote 71770 loci
processed 2400000 loci, wrote 72214 loci
processed 2410000 loci, wrote 72606 loci
processed 2420000 loci, wrote 73023 loci
processed 2430000 loci, wrote 73427 loci
processed 2440000 loci, wrote 73832 loci
processed 2450000 loci, wrote 74247 loci
processed 2460000 loci, wrote 74681 loci
processed 2470000 loci, wrote 75091 loci
processed 2480000 loci, wrote 75523 loci
processed 2490000 loci, wrote 75953 loci
processed 2500000 loci, wrote 76389 loci
processed 2510000 loci, wrote 76826 loci
processed 2520000 loci, wrote 77261 loci
processed 2530000 loci, wrote 77659 loci
processed 2540000 loci, wrote 78072 loci
processed 2550000 loci, wrote 78481 loci
processed 2560000 loci, wrote 78898 loci
processed 2570000 loci, wrote 79358 loci
processed 2580000 loci, wrote 79796 loci
processed 2590000 loci, wrote 80229 loci
processed 2600000 loci, wrote 80697 loci
processed 2610000 loci, wrote 81124 loci
processed 2620000 loci, wrote 81575 loci
processed 2630000 loci, wrote 82032 loci
processed 2640000 loci, wrote 82457 loci
processed 2650000 loci, wrote 82890 loci
processed 2660000 loci, wrote 83184 loci
processed 2670000 loci, wrote 83322 loci
processed 2680000 loci, wrote 83447 loci
processed 2690000 loci, wrote 83576 loci
processed 2700000 loci, wrote 83688 loci
processed 2710000 loci, wrote 83816 loci
processed 2720000 loci, wrote 83939 loci
processed 2730000 loci, wrote 84060 loci
processed 2740000 loci, wrote 84195 loci
processed 2750000 loci, wrote 84307 loci
processed 2760000 loci, wrote 84454 loci
processed 2770000 loci, wrote 84610 loci
processed 2780000 loci, wrote 84742 loci
processed 2790000 loci, wrote 84895 loci
processed 2800000 loci, wrote 85100 loci
processed 2810000 loci, wrote 85336 loci
processed 2820000 loci, wrote 85554 loci
processed 2830000 loci, wrote 85770 loci
processed 2840000 loci, wrote 86022 loci
processed 2850000 loci, wrote 86260 loci
processed 2860000 loci, wrote 86506 loci
processed 2870000 loci, wrote 86746 loci
processed 2880000 loci, wrote 86977 loci
